dzr,artist,title,status,preview
3092350,Turin Brakes,Pain Killer (Summer Rain),exists,
3092659,Kate Ryan,One Happy Day,exists,
3092665,Kate Ryan,Magical Love,exists,
3092694,A Perfect Circle,The Package,exists,
3092695,A Perfect Circle,Weak And Powerless,exists,
3092696,A Perfect Circle,The Noose,exists,
3092697,A Perfect Circle,Blue,exists,
3092700,A Perfect Circle,The Outsider,exists,
3092702,A Perfect Circle,The Nurse Who Loved Me,exists,
3092705,A Perfect Circle,Gravity,exists,
3092726,Kurt Elling,In The Winelight,exists,
3092737,Glen Campbell,Rhinestone Cowboy,exists,
3093092,mewithoutYou,The Soviet,exists,
3093276,The Bees,No Atmosphere,exists,
3093277,The Bees,Horsemen,exists,
3093281,The Bees,The Start,exists,
3093282,The Bees,Hourglass,exists,
3093462,Dr. Hook,When You're In Love With A Beautiful Woman,exists,
3093637,Faith Evans,Tru Love,exists,
3093699,Miss Kittin,I Come.Com,exists,
3094017,The Album Leaf,On Your Way,exists,
3094023,The Album Leaf,Eastern Glow,exists,
3095666,Idlewild,The Space Between All Things,exists,
3095692,Athlete,Chances,exists,
3095696,Athlete,Wires,exists,
3095699,Athlete,Street Map,exists,
3095762,Ed Harcourt,Something to Live For,exists,
3095764,Ed Harcourt,The Music Box,exists,
3095849,Shout Out Louds,Very Loud,exists,
3095850,Shout Out Louds,"Oh, Sweetheart",exists,
3095853,Shout Out Louds,Please Please Please,exists,
3095856,Shout Out Louds,Hurry Up Let's Go,exists,
3095857,Shout Out Louds,Shut Your Eyes,exists,
3097519,Daft Punk,Something About Us (Love Theme from Interstella 5555),exists,
3098095,Beverley Knight,Shoulda Woulda Coulda (Philly Version),exists,
3098227,Robbie Williams,Hot Fudge,exists,
3098228,Robbie Williams,Cursed,exists,
3098281,Kylie Minogue,Come into My World (Radio Edit),exists,
3098349,Everything But The Girl,Before Today (Chicane Remix),exists,
3098396,The Human League,The Things That Dreams Are Made Of (Remaster 2002),exists,
3098504,George Harrison,Never Get Over You,exists,
3098551,Supergrass,La Song,exists,
3098652,Michael Learns To Rock,25 Minutes (2002 Remaster),exists,
3099001,Robbie Williams,No Regrets,exists,
3099052,Beth Orton,Anywhere,exists,
3099055,Beth Orton,God Song,exists,
3099058,Beth Orton,Thinking About Tomorrow,exists,
3099465,The Animals,Worried Life Blues,exists,
