dzr,artist,title,status,preview
65039247,Simple Minds,Alive And Kicking,created,
65072787,Etta James,A Sunday Kind of Love,created,"https://cdnt-preview.dzcdn.net/api/1/1/5/d/d/0/5dd5ec789f5b55f17a414df386a78c93.mp3?hdnea=exp=1760583342~acl=/api/1/1/5/d/d/0/5dd5ec789f5b55f17a414df386a78c93.mp3*~data=user_id=0,application_id=42~hmac=0fd4238b0500003174dc74d90994cb3d9c08d1f9d70402da8d36c036acfd93f7"
65191176,Avril Lavigne,Losing Grip,created,
65191197,Avril Lavigne,Tomorrow,created,
65191244,Avril Lavigne,Together,created,
65191245,Avril Lavigne,Don't Tell Me,created,
65191247,Avril Lavigne,How Does It Feel,created,
65191248,Avril Lavigne,My Happy Ending,created,
65191275,Avril Lavigne,Who Knows,created,
65191278,Avril Lavigne,Slipped Away,created,
65247399,The Strokes,15 Minutes,created,
65400410,Morrissey,Sing Your Life (2013 Remaster),created,"https://cdnt-preview.dzcdn.net/api/1/1/5/4/e/0/54ed311939f851d029830e78e3ab25a5.mp3?hdnea=exp=1760583346~acl=/api/1/1/5/4/e/0/54ed311939f851d029830e78e3ab25a5.mp3*~data=user_id=0,application_id=42~hmac=87de49b23b7735bfb258d600491594d0352f5c64c746101684f837386589f132"
65400412,Morrissey,King Leer (2013 Remaster),created,"https://cdnt-preview.dzcdn.net/api/1/1/a/c/9/0/ac9d451cab967613c73c00069e2a6a02.mp3?hdnea=exp=1760583346~acl=/api/1/1/a/c/9/0/ac9d451cab967613c73c00069e2a6a02.mp3*~data=user_id=0,application_id=42~hmac=52b8c7c426d0498a6a4911ed43f215022e4b390fce49ce12f55b6a41cee3f1aa"
65400414,Morrissey,Pashernate Love (2013 Remaster),created,"https://cdnt-preview.dzcdn.net/api/1/1/c/c/2/0/cc2cefa746013f68e893da9066dde319.mp3?hdnea=exp=1760583347~acl=/api/1/1/c/c/2/0/cc2cefa746013f68e893da9066dde319.mp3*~data=user_id=0,application_id=42~hmac=24f1c46765b0430d41227b0b347b302d83b6a7074d4f3c9f19447ade0aea2ad1"
65400419,Morrissey,There's a Place in Hell for Me and My Friends (2013 Remaster),created,"https://cdnt-preview.dzcdn.net/api/1/1/5/8/9/0/58950f04685c82c468681b6bea05f27e.mp3?hdnea=exp=1760583347~acl=/api/1/1/5/8/9/0/58950f04685c82c468681b6bea05f27e.mp3*~data=user_id=0,application_id=42~hmac=5ba9c5f983e985e7200d89e134880739311317f3820bbe476806b6edaac66d05"
65403573,The Dubliners,Dirty Old Town,created,"https://cdnt-preview.dzcdn.net/api/1/1/e/3/f/0/e3f63ac0b3236060c3c2cb7d1fa931e0.mp3?hdnea=exp=1760583348~acl=/api/1/1/e/3/f/0/e3f63ac0b3236060c3c2cb7d1fa931e0.mp3*~data=user_id=0,application_id=42~hmac=419b4a3bde6718507c82a362987751a2c90c511337e493db5851bab9888036db"
65413507,Mercury Rev,Endlessly,created,"https://cdnt-preview.dzcdn.net/api/1/1/e/a/7/0/ea7eb02fe3bd88cf3db0eba57a0b4585.mp3?hdnea=exp=1760583348~acl=/api/1/1/e/a/7/0/ea7eb02fe3bd88cf3db0eba57a0b4585.mp3*~data=user_id=0,application_id=42~hmac=d46e203ebff1cc99c459fe659d3b494eb4e3613fd8f296f5c79f095bb4b105ed"
65440383,Toni Braxton,Love Shoulda Brought You Home,created,
65440405,Toni Braxton,Gimme Some,created,
65440433,Toni Braxton,Tell Me,created,
65464972,Buzzcocks,Everybody's Happy Nowadays (2001 Remastered Version),created,
65577960,Epica,Cry for the Moon (The Embrace That Smothers Part 4),created,
65690340,Johnny Cash,Solitary Man,created,"https://cdnt-preview.dzcdn.net/api/1/1/8/f/4/0/8f49bc60d1bf25aa0d5e624731a1463c.mp3?hdnea=exp=1760583353~acl=/api/1/1/8/f/4/0/8f49bc60d1bf25aa0d5e624731a1463c.mp3*~data=user_id=0,application_id=42~hmac=0564e3b20d3730821179968a73efe597448ab4faceea1bb1391621d7a231dc64"
65690355,Johnny Cash,The Beast In Me (Album Version),created,"https://cdnt-preview.dzcdn.net/api/1/1/9/9/a/0/99abf4ffb881e8674e7928ca132ea6e6.mp3?hdnea=exp=1760583353~acl=/api/1/1/9/9/a/0/99abf4ffb881e8674e7928ca132ea6e6.mp3*~data=user_id=0,application_id=42~hmac=f0b658adf70be3966a6afba56f263282d580de2119eee36d2644856b25860155"
65690414,Slayer,Scrum (Album Version),created,"https://cdnt-preview.dzcdn.net/api/1/1/9/8/e/0/98e5164eb23ca1fc0609491acf9329aa.mp3?hdnea=exp=1760583354~acl=/api/1/1/9/8/e/0/98e5164eb23ca1fc0609491acf9329aa.mp3*~data=user_id=0,application_id=42~hmac=32db7883ae59156c011a3722d649d3a4050d400289b8b217f225e4324250882f"
65690425,Slayer,213 (Album Version),created,"https://cdnt-preview.dzcdn.net/api/1/1/7/3/1/0/731f79b1da0f87c9a67f9c8b542737da.mp3?hdnea=exp=1760583354~acl=/api/1/1/7/3/1/0/731f79b1da0f87c9a67f9c8b542737da.mp3*~data=user_id=0,application_id=42~hmac=a25d4ec7ad3f6440f25a94f06887eb4eede5e5daac1ab369d7bdde4d2eb2d78e"
65690430,Slayer,New Faith,created,"https://cdnt-preview.dzcdn.net/api/1/1/c/d/7/0/cd7c3f47274f3659701c4a80d122f8e3.mp3?hdnea=exp=1760583355~acl=/api/1/1/c/d/7/0/cd7c3f47274f3659701c4a80d122f8e3.mp3*~data=user_id=0,application_id=42~hmac=4d0ae0ea6f61ef9f84942e43db8900f04e7d0d24a1a8bd84f35530042da4006d"
65690435,Slayer,Bloodline,created,"https://cdnt-preview.dzcdn.net/api/1/1/0/4/6/0/046fe907dc42f7ac0ab3ad28d319b78c.mp3?hdnea=exp=1760583355~acl=/api/1/1/0/4/6/0/046fe907dc42f7ac0ab3ad28d319b78c.mp3*~data=user_id=0,application_id=42~hmac=3b24fbab4d1a95f0d59b7ba6baba409a3a55c6509dd4669f3bef24887bee9beb"
65690440,Slayer,Angel Of Death,created,"https://cdnt-preview.dzcdn.net/api/1/1/e/8/d/0/e8d217e93ea15b2c75acab02d4c0aa9e.mp3?hdnea=exp=1760583355~acl=/api/1/1/e/8/d/0/e8d217e93ea15b2c75acab02d4c0aa9e.mp3*~data=user_id=0,application_id=42~hmac=39f0c755d781eede83c53c3ee3fc4d0ad72dce2d03c3ea031c6157ec41e63854"
65690442,Slayer,Necrophobic,created,"https://cdnt-preview.dzcdn.net/api/1/1/1/d/2/0/1d298a6d81049892a19ca3ebdc5e9a99.mp3?hdnea=exp=1760583356~acl=/api/1/1/1/d/2/0/1d298a6d81049892a19ca3ebdc5e9a99.mp3*~data=user_id=0,application_id=42~hmac=5ee73a6fba9488f3f64fde6d52339de8419dd96e4f902cfd5f52ec62f6633363"
65690443,Slayer,Altar Of Sacrifice,created,"https://cdnt-preview.dzcdn.net/api/1/1/8/6/9/0/86911e25cdf64ec3077606a546fea345.mp3?hdnea=exp=1760583356~acl=/api/1/1/8/6/9/0/86911e25cdf64ec3077606a546fea345.mp3*~data=user_id=0,application_id=42~hmac=1acd2473cbbe4db0cb2fe26e76aa5614a1332cfd36250a6cbf6790940e456326"
65690445,Slayer,Criminally Insane,created,"https://cdnt-preview.dzcdn.net/api/1/1/d/3/0/0/d30ebd9e6083eb4568b22db68d31cf12.mp3?hdnea=exp=1760583357~acl=/api/1/1/d/3/0/0/d30ebd9e6083eb4568b22db68d31cf12.mp3*~data=user_id=0,application_id=42~hmac=768c9f38b9a10b6fa7bbcc05c233a81ccaf4c1f1c35de6abc85e659b0c6e2ff5"
65690446,Slayer,Reborn,created,"https://cdnt-preview.dzcdn.net/api/1/1/1/7/3/0/1737575088474bc13638820ef056eb90.mp3?hdnea=exp=1760583357~acl=/api/1/1/1/7/3/0/1737575088474bc13638820ef056eb90.mp3*~data=user_id=0,application_id=42~hmac=9478aeef32e2431d75f90493e0e31588fb0917cf80de5acde8d6cdb4e0fbf6b6"
65690447,Slayer,Epidemic,created,"https://cdnt-preview.dzcdn.net/api/1/1/2/2/e/0/22eccf4a26499489c689761eff56d5d5.mp3?hdnea=exp=1760583358~acl=/api/1/1/2/2/e/0/22eccf4a26499489c689761eff56d5d5.mp3*~data=user_id=0,application_id=42~hmac=de3ca9d8d22993b7dd87b1263369bab86496e6e0c7e45dab23502c99e38b1239"
