dzr,artist,title,status,preview
80297292,Creed,Illusion,created,"https://cdnt-preview.dzcdn.net/api/1/1/7/4/b/0/74be09e3a26b60a9482025822c9de0d5.mp3?hdnea=exp=1760583973~acl=/api/1/1/7/4/b/0/74be09e3a26b60a9482025822c9de0d5.mp3*~data=user_id=0,application_id=42~hmac=5c4ffbc9fbb40863f57a6da37211492607369a7c0eece13a8003d1054cb2b904"
80298948,Finger Eleven,First Time,created,
80298966,Finger Eleven,Suffocate,created,
80298972,Finger Eleven,Walking In My Shoes,created,
80354186,Electric Light Orchestra,One Summer Dream,created,"https://cdnt-preview.dzcdn.net/api/1/1/a/3/1/0/a315b8b9c396649569d57eeaaaf2e0b9.mp3?hdnea=exp=1760583974~acl=/api/1/1/a/3/1/0/a315b8b9c396649569d57eeaaaf2e0b9.mp3*~data=user_id=0,application_id=42~hmac=e4083f99341271ef42ce6e3d201d090b50d97d2d24cdb821cbe59adb6c4f3af3"
80354238,Electric Light Orchestra,Don't Bring Me Down,created,"https://cdnt-preview.dzcdn.net/api/1/1/8/0/f/0/80f379d2efd6df9579bbe1ad4b146f72.mp3?hdnea=exp=1760583975~acl=/api/1/1/8/0/f/0/80f379d2efd6df9579bbe1ad4b146f72.mp3*~data=user_id=0,application_id=42~hmac=59e58655b16e8443dce5a29a13451f71b570774eea0b257b884b64f6a58994c4"
80354264,Electric Light Orchestra,Four Little Diamonds,created,"https://cdnt-preview.dzcdn.net/api/1/1/d/a/c/0/dacb8f223ccf68e8ef90ae15542ca7bb.mp3?hdnea=exp=1760583975~acl=/api/1/1/d/a/c/0/dacb8f223ccf68e8ef90ae15542ca7bb.mp3*~data=user_id=0,application_id=42~hmac=0d748fb0cd59339227a5b746cff723465bc5afb4f202dd693380dfb67f655117"
80703070,Metric,The Twist,created,
80703076,Metric,Raw Sugar,created,
80703078,Metric,White Gold,created,
80859750,Seether,Your Bore,created,"https://cdnt-preview.dzcdn.net/api/1/1/2/7/c/0/27c3c9e9b006d2ed3d907a5feaab72bd.mp3?hdnea=exp=1760583977~acl=/api/1/1/2/7/c/0/27c3c9e9b006d2ed3d907a5feaab72bd.mp3*~data=user_id=0,application_id=42~hmac=3e64969fb0a3224854955a0da103bb9762dbec50ebed3f2a8bacc12f314a5616"
80860060,Boy Hits Car,The Rebirth,created,"https://cdnt-preview.dzcdn.net/api/1/1/c/c/6/0/cc624e87546e144a4dbb7f5a3a4e4000.mp3?hdnea=exp=1760583978~acl=/api/1/1/c/c/6/0/cc624e87546e144a4dbb7f5a3a4e4000.mp3*~data=user_id=0,application_id=42~hmac=913ff4a0a85b6abca621777fcc914a241e7449bb38a2493d5ca4eecaec9890a8"
80860104,Creed,Torn,created,"https://cdnt-preview.dzcdn.net/api/1/1/9/5/8/0/9581a241d1e8b30e28dd7f4302420bac.mp3?hdnea=exp=1760583978~acl=/api/1/1/9/5/8/0/9581a241d1e8b30e28dd7f4302420bac.mp3*~data=user_id=0,application_id=42~hmac=bf5e547582073482021d70ef1f26b80d3b4ffbc626fbebc69ac9321dbc0b7364"
80860130,Creed,Weathered,created,"https://cdnt-preview.dzcdn.net/api/1/1/e/6/0/0/e60e810b4d562fefde647475f11a390f.mp3?hdnea=exp=1760583978~acl=/api/1/1/e/6/0/0/e60e810b4d562fefde647475f11a390f.mp3*~data=user_id=0,application_id=42~hmac=9d9fd5be7f8222f1a61606c534936cdf829545c323614a19b71826c028b5c413"
80860220,12 Stones,World So Cold,created,"https://cdnt-preview.dzcdn.net/api/1/1/d/a/a/0/daae57a9576a8e1076a28492f2f8997d.mp3?hdnea=exp=1760583979~acl=/api/1/1/d/a/a/0/daae57a9576a8e1076a28492f2f8997d.mp3*~data=user_id=0,application_id=42~hmac=70a81cb4fb9f605bcef16df766c454b52907ab659a894164d760fbdcfd881d0f"
80860228,12 Stones,Lie To Me (Acoustic),created,"https://cdnt-preview.dzcdn.net/api/1/1/e/c/c/0/ecce62caae643e9368b3fa90bc4decf0.mp3?hdnea=exp=1760583979~acl=/api/1/1/e/c/c/0/ecce62caae643e9368b3fa90bc4decf0.mp3*~data=user_id=0,application_id=42~hmac=c82d6f7859c4060aed1e82cd5d172e3f0a50ef33a31cfa1f30118d49f4ac4250"
80860402,Finger Eleven,Famous Last Words,created,"https://cdnt-preview.dzcdn.net/api/1/1/b/9/a/0/b9aebaf9ad5bc0449fe58c9cf40679c0.mp3?hdnea=exp=1760583980~acl=/api/1/1/b/9/a/0/b9aebaf9ad5bc0449fe58c9cf40679c0.mp3*~data=user_id=0,application_id=42~hmac=290abe2b891e5135fb0200ca1a54e5751fc6830886bd24616c2ed7fab91f4c4e"
80860636,Finger Eleven,Awake And Dreaming,created,"https://cdnt-preview.dzcdn.net/api/1/1/8/b/8/0/8b8f19890a7d7de0483a4c260bfbf16b.mp3?hdnea=exp=1760583980~acl=/api/1/1/8/b/8/0/8b8f19890a7d7de0483a4c260bfbf16b.mp3*~data=user_id=0,application_id=42~hmac=e133812cd43517efef64a16525b71241cc83dd0c95dcd294110f6dd8e7246f1f"
80860654,12 Stones,Broken,created,"https://cdnt-preview.dzcdn.net/api/1/1/a/a/9/0/aa99476378a7b80e4b069111b2ba1330.mp3?hdnea=exp=1760583980~acl=/api/1/1/a/a/9/0/aa99476378a7b80e4b069111b2ba1330.mp3*~data=user_id=0,application_id=42~hmac=872326d354de1de7b81469e89b0aeec275cd51caac861bca2a5f0a17b0c76382"
80860662,12 Stones,Fade Away,created,"https://cdnt-preview.dzcdn.net/api/1/1/a/1/f/0/a1f72b1d33e3209a855f511189dd4bc9.mp3?hdnea=exp=1760583981~acl=/api/1/1/a/1/f/0/a1f72b1d33e3209a855f511189dd4bc9.mp3*~data=user_id=0,application_id=42~hmac=3eed9bb006a241a89831efe56b8e330cf790c01c7295bf40b8e5c25a771d4b82"
80869636,Leonard Cohen,Dance Me to the End of Love,created,"https://cdnt-preview.dzcdn.net/api/1/1/b/4/b/0/b4bc5dd5fe434c6e5e3eb7294a875ecd.mp3?hdnea=exp=1760583981~acl=/api/1/1/b/4/b/0/b4bc5dd5fe434c6e5e3eb7294a875ecd.mp3*~data=user_id=0,application_id=42~hmac=a3058413d0085acfffd939c822190596310c04eddcc8d7d775a64d4a54428d11"
80869672,Leonard Cohen,Memories,created,"https://cdnt-preview.dzcdn.net/api/1/1/3/9/9/0/399b211bd812752d72e71ec45f3170c9.mp3?hdnea=exp=1760583982~acl=/api/1/1/3/9/9/0/399b211bd812752d72e71ec45f3170c9.mp3*~data=user_id=0,application_id=42~hmac=0cad5a6f120179596a34b9b12908696db4c1be288e255ac06920a6481a37e182"
80869680,Leonard Cohen,Death of a Ladies' Man,created,"https://cdnt-preview.dzcdn.net/api/1/1/7/c/9/0/7c982b0e9bc5d90dff569ee794174a35.mp3?hdnea=exp=1760583982~acl=/api/1/1/7/c/9/0/7c982b0e9bc5d90dff569ee794174a35.mp3*~data=user_id=0,application_id=42~hmac=049c75558702a05b49ca2bfe2836fe79c67171f815e07a9fa0840441fce5dc5e"
80869706,Leonard Cohen,First We Take Manhattan,created,"https://cdnt-preview.dzcdn.net/api/1/1/9/1/8/0/91861aa39ffc7c909f5f691c4fb1163e.mp3?hdnea=exp=1760583990~acl=/api/1/1/9/1/8/0/91861aa39ffc7c909f5f691c4fb1163e.mp3*~data=user_id=0,application_id=42~hmac=aa052b6724d628f333ef55453b60fdec3d7ffb24297dc31b23faf4784d9a1b55"
80869710,Leonard Cohen,Everybody Knows,created,"https://cdnt-preview.dzcdn.net/api/1/1/3/9/a/0/39a604e2aca79e562a796341d4ecb809.mp3?hdnea=exp=1760583991~acl=/api/1/1/3/9/a/0/39a604e2aca79e562a796341d4ecb809.mp3*~data=user_id=0,application_id=42~hmac=5679f6339dd311c0ddde4949c8c6d4317c1361b989558269a44138c27841c537"
80869712,Leonard Cohen,I'm Your Man,created,"https://cdnt-preview.dzcdn.net/api/1/1/6/5/b/0/65b3b501661e96b5fa5e8ecadbd93532.mp3?hdnea=exp=1760583991~acl=/api/1/1/6/5/b/0/65b3b501661e96b5fa5e8ecadbd93532.mp3*~data=user_id=0,application_id=42~hmac=26104a58e2b06ee0b7341cf233ae8749907424dba160baebd4fd1df46edf4b7d"
80869722,Leonard Cohen,Is This What You Wanted,created,"https://cdnt-preview.dzcdn.net/api/1/1/2/2/c/0/22c75bfda9d498b18dccf4bd8de08a47.mp3?hdnea=exp=1760583992~acl=/api/1/1/2/2/c/0/22c75bfda9d498b18dccf4bd8de08a47.mp3*~data=user_id=0,application_id=42~hmac=26e5ee782379d87105893ffcf7c4e7a0b084977c534cd838f20d89e8ae26dea8"
