dzr,artist,title,status,preview
13131221,Avril Lavigne featuring Lil Mama,Girlfriend (Dr. Luke mix featuring Lil Mama),created,"https://cdnt-preview.dzcdn.net/api/1/1/4/2/5/0/42530e517599424165da22caacdcdfe3.mp3?hdnea=exp=1760582190~acl=/api/1/1/4/2/5/0/42530e517599424165da22caacdcdfe3.mp3*~data=user_id=0,application_id=42~hmac=dfdd91e9cad5d27d88007379b53c1b56036d2895561a0b0537a46e25df70cc6d"
13131857,Calvin Harris,The Rain,created,"https://cdnt-preview.dzcdn.net/api/1/1/9/6/8/0/968490b24067976c6ae278565bab3859.mp3?hdnea=exp=1760582190~acl=/api/1/1/9/6/8/0/968490b24067976c6ae278565bab3859.mp3*~data=user_id=0,application_id=42~hmac=f6cbe306d7f1d8fce13ee6ffc1c2e0005fc32ece9e1ea90f9208bf6dac920b68"
13131860,Calvin Harris,You Used to Hold Me,created,"https://cdnt-preview.dzcdn.net/api/1/1/1/7/6/0/1763db761055a61e1f9a899d0cd9bc30.mp3?hdnea=exp=1760582191~acl=/api/1/1/1/7/6/0/1763db761055a61e1f9a899d0cd9bc30.mp3*~data=user_id=0,application_id=42~hmac=a90be8bd733f1bdeec7c91f7c7f518a6da1eda05f7c79d4f0f2216dacabcba34"
13131861,Calvin Harris,Blue,created,"https://cdnt-preview.dzcdn.net/api/1/1/a/4/9/0/a49a64e7121e574a4cd3421e93def99e.mp3?hdnea=exp=1760582191~acl=/api/1/1/a/4/9/0/a49a64e7121e574a4cd3421e93def99e.mp3*~data=user_id=0,application_id=42~hmac=512e88b09665b8cf28f176350e14acc793d61963d616b4b9d4c4a7cf1bdbb22c"
13131863,Calvin Harris,Flashback,created,"https://cdnt-preview.dzcdn.net/api/1/1/5/b/d/0/5bd4bcfdaf48892a3efe00245717a9a8.mp3?hdnea=exp=1760582191~acl=/api/1/1/5/b/d/0/5bd4bcfdaf48892a3efe00245717a9a8.mp3*~data=user_id=0,application_id=42~hmac=692665aa4628b55ebde0639358b57114015b12c75a6e65e5e8434c2168abb97c"
13131917,Metro Station,Seventeen Forever (Album Version),created,"https://cdnt-preview.dzcdn.net/api/1/1/2/7/1/0/271f0ec6789b28258e46f2fa524e5fca.mp3?hdnea=exp=1760582192~acl=/api/1/1/2/7/1/0/271f0ec6789b28258e46f2fa524e5fca.mp3*~data=user_id=0,application_id=42~hmac=8d475a0da12ebdb2e87fe88235b26329e835fdacb1aae8830572e64b88751738"
13131923,Metro Station,True To me (Album Version),created,"https://cdnt-preview.dzcdn.net/api/1/1/6/0/c/0/60c36632e73ddc5300fbf1c61eb6e812.mp3?hdnea=exp=1760582192~acl=/api/1/1/6/0/c/0/60c36632e73ddc5300fbf1c61eb6e812.mp3*~data=user_id=0,application_id=42~hmac=b4d790e5979d1672ad0242add8f759cfeeef045a45759f21e8f75d72321f7f47"
13131925,Metro Station,California (Album Version),created,"https://cdnt-preview.dzcdn.net/api/1/1/f/8/9/0/f894356cd34cb460753f041f3a27d4a0.mp3?hdnea=exp=1760582193~acl=/api/1/1/f/8/9/0/f894356cd34cb460753f041f3a27d4a0.mp3*~data=user_id=0,application_id=42~hmac=f29eb88995d304e7f3f77422044161b811caa5187687b9b6ef04b0a2673c79a8"
13132576,Calvin Harris,Merrymaking at My Place,created,"https://cdnt-preview.dzcdn.net/api/1/1/b/1/e/0/b1ec61c27ac37f17654fe52066c3f53f.mp3?hdnea=exp=1760582193~acl=/api/1/1/b/1/e/0/b1ec61c27ac37f17654fe52066c3f53f.mp3*~data=user_id=0,application_id=42~hmac=742ff7299704cc58dd787e316bfae558b5c5d808a53d580fe7fd8d6064fb6719"
13132580,Calvin Harris,Acceptable in the 80's,created,"https://cdnt-preview.dzcdn.net/api/1/1/8/2/7/0/8272f8d1e13b24f3f0ac07fc3dc1cc02.mp3?hdnea=exp=1760582193~acl=/api/1/1/8/2/7/0/8272f8d1e13b24f3f0ac07fc3dc1cc02.mp3*~data=user_id=0,application_id=42~hmac=c557caeadc16bc5e4db6902ab5ce00e4deb05d8e2620f6305cb2860567703fe5"
13132592,Sara Bareilles,Bottle It Up,created,"https://cdnt-preview.dzcdn.net/api/1/1/a/0/2/0/a0291ea1659cd58dd965a918282b1cfb.mp3?hdnea=exp=1760582194~acl=/api/1/1/a/0/2/0/a0291ea1659cd58dd965a918282b1cfb.mp3*~data=user_id=0,application_id=42~hmac=a0df53eba4acab89acdbc4debe9fb82473da21903379064d9060afcf58d47700"
13132593,Sara Bareilles,One Sweet Love,created,"https://cdnt-preview.dzcdn.net/api/1/1/4/b/8/0/4b895b55d0d1ad0a5d9de5798fb98071.mp3?hdnea=exp=1760582194~acl=/api/1/1/4/b/8/0/4b895b55d0d1ad0a5d9de5798fb98071.mp3*~data=user_id=0,application_id=42~hmac=36fa215f00bb8961cbf097578e500c1411c18247126709c32e20679e0ec3f236"
