dzr,artist,title,status,preview
2288107,Martha & The Vandellas,There He Is (At My Door) (Stereo Version / Stereo),exists,
2288441,Lee Ann Womack,I Hope You Dance,exists,
2288548,The Mamas & The Papas,Safe In My Garden (Album Version),exists,
2288551,The Mamas & The Papas,Nothing's Too Good For My Little Girl (Album Version),exists,
2289075,Yeah Yeah Yeahs,Let Me Know (Demo),exists,
2289582,Squeeze,Goodbye Girl,exists,
2289590,Squeeze,Pulling Mussels (From The Shell),exists,
2289593,Squeeze,Tempted,exists,
2289611,Squeeze,If It's Love (Single Version),exists,
2289616,Alien Ant Farm,Glow,exists,
2289707,George Benson,Breezin' (Album Version),exists,
2290549,The Miracles,You've Really Got A Hold On Me,exists,
2290745,Dianne Reeves,Too Close For Comfort (Album Version),exists,
2290761,Dianne Reeves,Pick Yourself Up (Album Version),exists,
2291109,The Mavericks,All That Heaven Will Allow,exists,
2291683,Yvonne Elliman / Ben Vereen / Jeff Fenholt / Marc Pressel,Everything's Alright,exists,
2292064,Jamie Cullum,"Lover, You Should Have Come Over",exists,
2292467,The Style Council,Speak Like A Child,exists,
2292652,George Benson,Missing You,exists,
2293144,Joe Budden,Pump It Up,exists,
2293148,Joe Budden,Walk With Me,exists,
2293164,Joe Budden,Porno Star,exists,
2293834,Tricky,For Real,exists,
2293835,Tricky / The Mad Dog Reflex / DJ Muggs,Bom Bom Diggy,exists,
2293843,Tricky / D'Na / DJ Muggs,Call Me,exists,
2293844,Tricky,Wash My Soul,exists,
2293847,Tricky,Scrappy Love,exists,
2295293,Kaiser Chiefs,Tomato In The Rain,exists,
2295308,Delays,Pieces,exists,
2296095,Sparks,Talent Is An Asset,exists,
2296187,The Faders,Jump,exists,
2298087,James Morrison,You Make It Real,exists,
2298391,The Mission,Bird Of Passage,exists,
2298577,Daniel Bedingfield,If You're Not The One,exists,
2298578,Daniel Bedingfield,He Don't Love You Like I Love You (Album Version),exists,
2298582,Daniel Bedingfield,Girlfriend (Album Version),exists,
2298584,Daniel Bedingfield,Never Gonna Leave Your Side,exists,
2298587,Daniel Bedingfield,Gotta Get Thru This (D'N'D Radio Edit),exists,
2300172,3 Doors Down,"It's Not Me (Live At The Congress Theater, Chicago/2003)",exists,
2300683,Beck,E-Pro,exists,
2300684,Beck,Que' Onda Guero (Album Version),exists,
2300686,Beck,Girl,exists,
2300711,Beck,Emergency Exit (Album Version),exists,
2300786,The Velvet Underground,Pale Blue Eyes (Closet Mix),exists,
2300825,Blue October,Hate Me (With Intro Explicit),exists,
2301402,Counting Crows,Goodnight L.A.,exists,
2301593,Tim Hardin,How Can We Hang On To A Dream,exists,
2302519,Beck,Earthquake Weather (Album Version),exists,
